Bowler,Country_Team,Bowler_Type,Balls_Faced,Runs_Scored,Strike_Rate,Dismissals,Batting_Average,Fours,Sixes,Dot_Ball_Pct
Shaheen Shah Afridi,Pakistan,Left-arm Fast,78,114,146.15,1,114.00,10,6,42.3
Haris Rauf,Pakistan,Right-arm Fast,64,108,168.75,2,54.00,8,7,35.9
Pat Cummins,Australia,Right-arm Fast,96,142,147.92,3,47.33,12,8,39.6
Mitchell Starc,Australia,Left-arm Fast,82,106,129.27,3,35.33,10,4,45.1
Josh Hazlewood,Australia,Right-arm Fast-Medium,72,88,122.22,4,22.00,9,3,52.8
Jofra Archer,England,Right-arm Fast,58,84,144.83,2,42.00,7,5,44.8
Mark Wood,England,Right-arm Fast,62,104,167.74,1,104.00,8,6,38.7
Adil Rashid,England,Right-arm Leg-Break,88,136,154.55,2,68.00,11,7,32.9
Kagiso Rabada,South Africa,Right-arm Fast,94,148,157.45,4,37.00,14,8,38.3
Anrich Nortje,South Africa,Right-arm Fast,66,112,169.70,2,56.00,9,8,36.4
Rashid Khan,Afghanistan / IPL,Right-arm Leg-Break,84,116,138.10,2,58.00,8,5,41.7
Trent Boult,New Zealand / IPL,Left-arm Fast-Medium,92,128,139.13,3,42.67,12,6,44.6
