Match_ID,Match_Date,Year,Format,Tournament,Team,Opponent,Venue,Host_Country,Home_Away,Batting_Innings,Batting_Position,Runs,Balls,Fours,Sixes,Dismissal_Mode,Strike_Rate,Overs,Maidens,Runs_Conceded,Wickets,Economy,Catches,Result,Player_of_Match,Match_Impact_Score
M-2015-ODI-025,2015-01-07,2015,ODI,International Series 2015,India,South Africa,"MA Chidambaram Stadium, Chennai",India,Away,1,6,18,15,1,2,lbw,120,6.5,1,46,2,7.08,2,Won,No,81
M-2015-T20I-087,2015-01-10,2015,T20I,International Series 2015,India,Afghanistan,"PCA Stadium, Mohali",India,Home,1,6,14,12,1,2,caught,116.67,3.5,0,22,0,6.29,4,Won,No,51
M-2015-IPL-146,2015-01-27,2015,IPL,Indian Premier League 2015,Mumbai Indians,Lucknow Super Giants,"MA Chidambaram Stadium, Chennai",India,Home,1,6,22,16,0,0,caught,137.5,3,0,12,0,4,0,Won,No,37.6
M-2015-IPL-117,2015-02-24,2015,IPL,Indian Premier League 2015,Mumbai Indians,Lucknow Super Giants,"PCA Stadium, Mohali",India,Home,1,6,18,13,0,0,not out,138.46,2,0,18,1,9,0,Won,No,45.8
M-2015-ODI-057,2015-02-25,2015,ODI,International Series 2015,India,Sri Lanka,"HPCA Stadium, Dharamsala",India,Away,1,6,11,8,3,1,bowled,137.5,6.2,0,41,1,6.61,1,Lost,No,49.1
M-2015-IPL-136,2015-03-14,2015,IPL,Indian Premier League 2015,Mumbai Indians,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",India,Away,1,6,13,10,2,1,bowled,130,2.5,0,20,0,8,0,Lost,No,17.5
M-2015-IPL-120,2015-03-16,2015,IPL,Indian Premier League 2015,Mumbai Indians,Punjab Kings,"PCA Stadium, Mohali",India,Home,1,6,15,12,0,0,lbw,125,3.1,0,22,2,7.1,0,Won,No,62.8
M-2015-IPL-051,2015-03-19,2015,IPL,Indian Premier League 2015,Mumbai Indians,Royal Challengers Bengaluru,"PCA Stadium, Mohali",India,Away,1,6,13,10,1,2,caught,130,2.3,0,19,0,8.26,1,Lost,No,25.5
M-2015-T20I-036,2015-03-22,2015,T20I,International Series 2015,India,West Indies,"Rajiv Gandhi Stadium, Hyderabad",India,Home,1,6,15,13,1,1,caught,115.38,3.5,0,23,2,6.57,0,Lost,No,63.8
M-2015-ODI-060,2015-04-14,2015,ODI,International Series 2015,India,Bangladesh,"MA Chidambaram Stadium, Chennai",India,Away,1,6,34,31,4,0,bowled,109.68,4.2,0,34,1,8.1,1,Won,No,65.5
