Season,Team,Role,Matches,Innings_Batted,Runs,Balls,Batting_Avg,Strike_Rate,Highest_Score,Fours,Sixes,Overs,Wickets,Bowling_Avg,Economy,Catches,Result
2015,Mumbai Indians,Finisher,9,9,112,62,22.40,180.64,61,6,9,11.0,1,85.00,7.72,5,Champion
2016,Mumbai Indians,All-Rounder,11,9,44,54,7.33,81.48,14,3,1,19.0,3,56.66,8.94,4,Group Stage
2017,Mumbai Indians,Finisher,17,16,240,154,24.00,155.84,35,16,14,24.0,6,38.00,8.16,12,Champion
2018,Mumbai Indians,All-Rounder,13,13,260,195,28.88,133.33,35,20,11,40.1,18,21.16,8.92,8,Group Stage
2019,Mumbai Indians,Super Finisher,16,15,402,210,44.66,191.42,91,29,29,42.3,14,27.85,9.17,11,Champion
2020,Mumbai Indians,Finisher,14,13,281,157,35.12,178.98,60,14,25,0.0,0,0.00,0.00,4,Champion
2021,Mumbai Indians,Batter,12,11,127,112,14.11,113.39,40,11,5,0.0,0,0.00,0.00,6,Group Stage
2022,Gujarat Titans,Captain & Anchor,16,15,487,371,44.27,131.26,87,49,12,30.3,8,27.75,7.27,6,Champion (Captain)
2023,Gujarat Titans,Captain & Top Order,16,15,346,265,31.45,130.56,66,27,14,25.0,3,76.66,9.20,4,Runner-up (Captain)
2024,Mumbai Indians,Captain & All-Rounder,13,13,226,153,18.83,147.71,46,16,14,34.0,11,35.18,10.75,5,Group Stage
