Opponent,Category,Matches,Innings_Batted,Runs,Balls,Highest_Score,Batting_Avg,Strike_Rate,Fours,Sixes,Wickets,Bowling_Avg,Bowling_Economy,Best_Bowling
Australia,International,39,32,1048,842,92,38.81,124.46,84,48,34,32.41,6.15,4/24
England,International,35,27,784,650,93,34.08,120.61,72,28,32,28.18,6.22,5/28
Pakistan,International,14,10,318,218,76,35.33,145.87,22,17,19,16.52,5.28,3/8
South Africa,International,28,23,546,412,59,27.30,132.52,42,22,21,33.19,7.45,3/20
New Zealand,International,24,19,412,330,54,25.75,124.84,33,15,16,36.75,6.48,3/23
Sri Lanka,International,26,19,486,375,108,34.71,129.60,45,18,18,29.44,5.80,3/27
West Indies,International,22,18,348,255,41,23.20,136.47,28,16,15,31.20,6.92,3/25
Bangladesh,International,15,11,262,178,51,32.75,147.19,21,12,12,24.83,6.35,3/46
Chennai Super Kings,IPL Franchise,22,20,415,272,60,25.93,152.57,32,24,9,39.44,8.80,3/20
Kolkata Knight Riders,IPL Franchise,20,18,438,276,91,33.69,158.69,34,26,11,33.18,8.45,3/19
Royal Challengers Bengaluru,IPL Franchise,21,19,392,260,62,28.00,150.76,31,21,8,42.50,8.95,3/28
Delhi Capitals,IPL Franchise,19,17,328,245,59,25.23,133.87,26,14,10,36.20,8.15,3/24
Punjab Kings,IPL Franchise,18,17,344,236,53,24.57,145.76,28,17,9,38.88,8.60,2/22
Rajasthan Royals,IPL Franchise,17,15,414,295,87,37.63,140.33,36,15,11,29.63,7.85,3/17
Sunrisers Hyderabad,IPL Franchise,18,16,310,230,50,23.84,134.78,24,13,8,46.12,9.15,2/20
