Year,Matches,Runs,Balls,Batting_Avg,Strike_Rate,Highest_Score,Fours,Sixes,Overs,Wickets,Bowling_Avg,Economy,Catches,Major_Events
2015,16,112,62,22.40,180.64,61,6,9,14.0,2,54.00,7.71,6,IPL Debut with Mumbai Indians; Emergence as Power Finisher
2016,33,264,188,24.00,140.42,45,21,12,68.2,18,29.44,7.76,14,India T20I & ODI Debut; Historic 1-run win last over vs Bangladesh
2017,45,958,819,34.21,116.97,108,79,48,154.0,38,28.50,5.65,22,Maiden Test Century (108 vs SL); Champions Trophy Final 76 (43); ICC Breakthrough Star
2018,34,685,618,27.40,110.84,93,64,25,148.5,37,29.89,6.01,18,Trent Bridge 5/28 & 52* vs ENG; Asia Cup injury
2019,35,934,586,37.36,159.38,91,68,58,95.0,24,36.25,8.12,19,IPL 402 runs @ 191.42 SR; ICC World Cup 2019 Semi-Finalist
2020,19,531,310,48.27,171.29,92,38,32,4.0,1,43.00,10.75,8,Pure Batter Post-Back Surgery; Series win in AUS (Player of the Series T20I)
2021,23,382,312,22.47,122.43,39,32,15,19.0,3,68.33,8.74,10,T20 World Cup 2021; Rehabilitation Phase
2022,43,1215,928,38.97,130.92,87,102,46,128.4,32,27.53,7.65,24,Led Gujarat Titans to IPL Trophy in Debut Season (Final POM 3/17 & 34); Asia Cup win vs PAK
2023,37,842,668,33.68,126.04,87,69,32,84.1,23,31.78,6.88,18,Captain Gujarat Titans to IPL Final; ODI World Cup ankle injury
2024,40,782,534,31.28,146.44,52,50,49,88.0,30,24.10,7.85,16,T20 World Cup Champion; Defended 16 in final vs SA (Klaasen & Miller wickets)
